Cell_Name,Density,Replicate,Drug_Name,Dose,Mitomycin_C,Time,Relative_Wound_Density,Relative_Caspase
KKK_D068,25000,1,Sorafenib,10,Yes,0,0,1407.68945
KKK_D068,25000,1,Sorafenib,10,Yes,2,9.301368,4650.942
KKK_D068,25000,1,Sorafenib,10,Yes,4,15.79976,3135.45785
KKK_D068,25000,1,Sorafenib,10,Yes,6,20.73662,5079.29875
KKK_D068,25000,1,Sorafenib,10,Yes,8,31.09503,16487.922
KKK_D068,25000,1,Sorafenib,10,Yes,10,36.14277,16122.1645
KKK_D068,25000,1,Sorafenib,10,Yes,12,34.17848,18485.255
KKK_D068,25000,1,Sorafenib,10,Yes,14,38.47783,21618.54
KKK_D068,25000,1,Sorafenib,10,Yes,16,44.03601,23227.88
KKK_D068,25000,1,Sorafenib,10,Yes,18,50.2863,23106.31
KKK_D068,25000,1,Sorafenib,10,Yes,20,53.98272,29970.58
KKK_D068,25000,1,Sorafenib,10,Yes,22,55.40851,34679.445
KKK_D068,25000,1,Sorafenib,10,Yes,24,57.08813,43574.645
KKK_D068,25000,1,Sorafenib,10,Yes,26,59.08317,44002.435
KKK_D068,25000,1,Sorafenib,10,Yes,28,61.76175,43197.85
KKK_D068,25000,1,Sorafenib,10,Yes,30,61.57877,48364.88
KKK_D068,25000,1,Sorafenib,10,Yes,32,63.06852,58313.365
KKK_D068,25000,1,Sorafenib,10,Yes,34,64.32194,55297.38
KKK_D068,25000,1,Sorafenib,10,Yes,36,64.16445,58881.665
KKK_D068,25000,1,Sorafenib,10,Yes,38,66.03395,67960.22
KKK_D068,25000,1,Sorafenib,10,Yes,40,65.82092,79286.83
KKK_D068,25000,1,Sorafenib,10,Yes,42,67.94595,82706.76
KKK_D068,25000,1,Sorafenib,10,Yes,44,67.07046,91560.22
KKK_D068,25000,1,Sorafenib,10,Yes,46,66.84306,116282.08
KKK_D068,25000,1,Sorafenib,10,Yes,48,68.04845,131555.2
KKK_D068,25000,1,Sorafenib,10,Yes,50,69.38995,146026.98
KKK_D068,25000,1,Sorafenib,10,Yes,52,68.25481,160572.22
KKK_D068,25000,1,Sorafenib,10,Yes,54,71.12612,166187.95
KKK_D068,25000,1,Sorafenib,10,Yes,56,69.41934,180111.9
KKK_D068,25000,1,Sorafenib,10,Yes,58,70.95101,197214.5
KKK_D068,25000,1,Sorafenib,10,Yes,60,72.1385,206367.35
KKK_D068,25000,1,Sorafenib,10,Yes,62,71.7598,233449.55
KKK_D068,25000,1,Sorafenib,10,Yes,64,72.56685,241415.9
KKK_D068,25000,1,Sorafenib,10,Yes,66,73.54346,242985.6
KKK_D068,25000,1,Sorafenib,10,Yes,68,73.58862,227283.7
KKK_D068,25000,1,Sorafenib,10,Yes,70,74.5198,247343.6
KKK_D068,25000,1,Sorafenib,10,Yes,72,76.06237,259334.45
KKK_D068,25000,1,Sorafenib,5,Yes,0,0,1912.2595
KKK_D068,25000,1,Sorafenib,5,Yes,2,7.840127,7116.028
